"NAME","P0040001","P0040003","P0050003","P0050004","P0050005","P0050006","P0050007","P0050008","P0050009","H0040001","H0040002","H0040003","H0040004","H0050001","H0050002","H0050003","H0050004","H0050005","H0050006","H0050007","H0050008","P0120003","P0120004","P0120005","P0120006","P0120007","P0120008","P0120009","P0120010","P0120011","P0120012","P0120013","P0120014","P0120015","P0120016","P0120017","P0120018","P0120019","P0120020","P0120021","P0120022","P0120023","P0120024","P0120025","P0120027","P0120028","P0120029","P0120030","P0120031","state","county","tract","block.group","NAME.1","P0120032","P0120033","P0120034","P0120035","P0120036","P0120037","P0120038","P0120039","P0120040","P0120041","P0120042","P0120043","P0120044","P0120045","P0120046","P0120047","P0120048","P0120049","P0180001","P0180003","P0180005","P0180006","P0180008","P0180009","state.1","county.1","tract.1","block.group.1","TRACT_BLOC"
"Block Group 1",579,121,245,168,1,21,0,5,18,267,104,13,150,45,20,2,9,2,4,0,8,10,14,24,5,6,3,2,10,20,23,25,27,37,23,18,10,9,5,6,4,4,5,2,24,10,14,9,6,"17","031","010100","1","Block Group 1",3,4,14,28,25,21,22,20,25,17,11,8,8,4,5,5,2,2,267,78,10,39,103,37,"17","031","010100","1","0101001"
"Block Group 2",2311,248,343,1592,9,36,0,6,77,1009,108,10,891,142,82,3,33,1,0,0,23,98,101,72,61,38,17,6,58,86,74,65,74,73,87,66,15,27,7,8,13,6,5,1,105,94,90,44,33,"17","031","010100","2","Block Group 2",16,19,71,119,111,94,84,107,90,76,17,27,13,5,17,9,3,9,1009,135,37,311,429,97,"17","031","010100","2","0101002"
"Block Group 3",1964,247,913,630,3,93,0,11,67,1026,242,33,751,135,90,3,4,4,7,0,27,59,40,29,15,16,5,6,44,120,89,104,117,87,70,75,27,22,13,16,8,3,7,4,59,28,26,27,15,"17","031","010100","3","Block Group 3",6,13,61,107,122,86,80,89,81,54,33,23,9,23,18,12,5,11,1026,230,26,109,522,139,"17","031","010100","3","0101003"
"Block Group 1",1445,335,359,569,5,94,1,19,63,547,176,32,339,91,51,1,19,1,2,0,17,59,57,36,24,13,8,11,36,55,56,68,65,62,62,41,11,15,14,6,9,8,2,0,59,51,31,28,16,"17","031","010201","1","Block Group 1",8,12,35,65,70,68,44,71,58,41,8,18,7,7,15,10,3,2,547,193,40,84,173,57,"17","031","010201","1","0102011"
"Block Group 2",3872,1302,787,1457,23,142,5,24,132,1453,449,31,973,302,156,2,90,8,3,0,43,179,162,127,78,54,29,23,82,173,203,192,157,140,126,69,24,38,15,24,20,12,5,3,164,164,137,73,47,"17","031","010201","2","Block Group 2",23,26,100,180,205,172,130,121,108,111,42,38,18,22,20,17,10,9,1453,443,88,299,468,155,"17","031","010201","2","0102012"
"Block Group 3",1133,412,355,265,0,63,0,4,34,463,205,20,238,85,49,5,14,2,0,0,15,47,25,32,25,9,7,7,30,67,68,64,50,41,50,21,10,13,6,7,5,3,2,3,55,39,35,17,12,"17","031","010201","3","Block Group 3",5,8,22,51,51,53,44,40,35,27,4,13,6,9,5,4,1,5,463,163,18,53,184,45,"17","031","010201","3","0102013"
"Block Group 1",1265,377,388,418,3,45,0,5,29,508,124,10,374,43,25,2,9,0,4,0,3,42,28,25,11,9,5,3,30,53,68,52,45,43,74,43,10,23,16,14,32,21,10,8,40,29,19,7,8,"17","031","010202","1","Block Group 1",7,2,19,41,46,51,26,38,35,44,17,41,12,24,33,29,10,22,508,105,23,49,270,61,"17","031","010202","1","0102021"
"Block Group 2",1553,412,451,517,11,94,0,3,65,607,165,22,420,60,42,1,9,3,2,0,3,56,44,52,67,19,13,12,40,70,80,78,64,62,49,34,21,10,7,7,13,8,2,0,70,47,46,40,11,"17","031","010202","2","Block Group 2",4,13,36,73,72,67,49,53,55,36,13,19,13,10,9,3,2,4,607,188,38,79,211,91,"17","031","010202","2","0102022"
"Block Group 1",947,81,568,246,0,27,0,5,20,466,175,24,267,128,19,1,6,6,5,0,91,20,10,5,10,6,2,2,14,38,50,51,44,47,43,46,12,26,4,11,20,10,7,7,27,17,13,8,5,"17","031","010300","1","Block Group 1",1,2,14,37,44,39,42,34,24,45,19,23,7,18,21,10,9,3,466,120,16,32,238,60,"17","031","010300","1","0103001"
"Block Group 2",2179,456,987,603,6,59,4,7,57,858,268,74,516,110,62,1,5,4,8,0,30,67,49,35,21,18,14,20,42,125,110,102,89,88,71,59,24,26,13,20,41,26,12,22,62,40,26,19,13,"17","031","010300","2","Block Group 2",18,13,32,110,88,79,75,62,68,76,25,36,18,25,31,35,35,99,858,213,44,78,418,105,"17","031","010300","2","0103002"
"Block Group 3",1650,196,737,509,6,131,10,3,58,837,122,35,680,103,72,3,3,1,13,0,11,32,27,33,18,13,9,8,45,62,65,70,68,82,60,64,25,20,10,14,35,25,19,18,39,27,21,19,10,"17","031","010300","3","Block Group 3",5,3,46,79,65,59,54,63,58,49,16,38,22,15,41,28,30,41,837,147,26,83,480,101,"17","031","010300","3","0103003"
"Block Group 4",1460,436,544,333,1,115,2,3,26,665,213,33,419,87,54,5,18,5,2,0,3,71,41,27,19,15,8,9,44,120,63,82,71,50,38,35,13,16,11,14,11,6,2,1,42,40,37,29,14,"17","031","010300","4","Block Group 4",4,12,36,64,82,69,43,49,52,45,17,21,7,3,16,3,4,4,665,181,31,80,272,101,"17","031","010300","4","0103004"
"Block Group 1",1465,133,811,320,3,143,0,3,52,831,184,27,620,94,69,1,5,0,11,0,8,45,29,24,10,13,11,13,55,98,76,71,53,57,59,49,16,17,11,8,2,2,4,4,31,19,20,10,11,"17","031","010400","1","Block Group 1",12,36,58,95,83,67,52,50,50,53,16,19,15,9,13,4,9,6,831,187,24,60,445,115,"17","031","010400","1","0104001"
"Block Group 2",833,88,467,151,2,80,3,11,31,442,132,68,242,36,20,1,8,1,4,0,2,25,9,15,7,9,8,5,24,46,47,42,35,26,33,24,9,5,7,7,12,3,2,1,23,13,11,9,4,"17","031","010400","2","Block Group 2",3,7,40,57,47,32,35,31,31,27,6,10,10,6,14,3,7,6,442,99,11,40,209,83,"17","031","010400","2","0104002"
"Block Group 3",2744,259,1819,236,5,328,1,8,88,825,94,44,687,83,54,10,2,0,6,0,11,18,16,16,9,254,110,94,124,96,52,45,44,53,65,36,15,26,12,8,12,5,6,4,18,13,15,14,605,"17","031","010400","3","Block Group 3",185,197,162,80,51,49,25,42,42,48,8,19,6,8,10,10,9,8,825,132,22,52,443,176,"17","031","010400","3","0104003"
"Block Group 1",871,75,446,239,1,67,0,3,40,502,100,28,374,96,93,0,3,0,0,0,0,17,19,11,9,6,4,8,26,72,55,42,32,40,39,19,11,8,7,5,4,4,0,0,21,17,7,5,5,"17","031","010501","1","Block Group 1",4,14,47,80,53,37,27,28,21,24,10,6,6,9,3,7,1,1,502,93,11,46,281,71,"17","031","010501","1","0105011"
"Block Group 2",1897,218,633,724,9,242,4,15,52,985,206,11,768,106,78,5,11,2,4,0,6,60,41,41,29,30,12,7,58,153,111,104,80,62,58,39,12,16,12,9,14,2,3,0,48,37,46,18,16,"17","031","010501","2","Block Group 2",10,21,81,148,118,98,58,73,60,47,16,16,6,5,11,4,6,1,985,216,46,113,490,120,"17","031","010501","2","0105012"
"Block Group 3",1323,213,676,308,4,72,0,9,41,806,122,8,676,106,91,4,5,0,0,0,6,43,20,6,6,4,5,13,39,80,87,58,62,54,38,26,6,16,7,10,30,18,20,18,34,10,9,8,2,"17","031","010501","3","Block Group 3",10,14,55,84,68,53,31,32,28,23,12,15,11,24,35,26,38,35,806,156,28,52,472,98,"17","031","010501","3","0105013"
"Block Group 1",1334,163,740,303,2,93,0,2,31,660,163,19,478,184,56,0,4,2,4,0,118,37,14,15,12,10,28,58,98,88,84,57,53,39,38,35,17,11,5,5,5,1,5,1,38,20,9,9,10,"17","031","010502","1","Block Group 1",22,52,81,78,64,55,30,45,25,31,12,12,2,3,6,7,4,3,660,143,32,51,276,158,"17","031","010502","1","0105021"
"Block Group 2",1767,177,932,441,8,146,1,6,56,1024,166,28,830,110,88,4,3,1,5,0,9,58,29,18,15,10,13,27,87,125,135,91,78,60,61,50,22,16,9,9,3,4,3,1,54,27,13,8,9,"17","031","010502","2","Block Group 2",20,43,102,123,97,81,60,52,51,41,12,20,4,10,8,5,2,1,1024,199,26,53,584,162,"17","031","010502","2","0105022"
"Block Group 1",1482,167,834,168,7,269,1,0,36,829,58,72,699,140,124,2,0,0,3,0,11,16,8,16,10,8,24,33,73,70,42,31,22,32,23,36,18,23,31,30,54,46,28,27,12,8,15,7,7,"17","031","010503","1","Block Group 1",42,70,95,39,30,22,14,22,29,26,9,46,32,45,58,48,47,58,829,161,20,37,466,145,"17","031","010503","1","0105031"
"Block Group 2",808,78,492,133,2,62,1,2,38,355,42,10,303,40,37,1,0,0,2,0,0,11,5,9,4,23,44,26,49,49,30,28,23,28,23,10,4,8,2,3,3,4,1,0,8,6,4,3,51,"17","031","010503","2","Block Group 2",82,48,54,33,22,15,11,18,15,23,7,3,3,4,6,2,3,0,355,49,10,21,186,89,"17","031","010503","2","0105032"
"Block Group 1",1891,276,907,568,4,83,1,2,50,960,319,44,597,82,54,1,14,4,1,0,8,64,43,47,31,18,21,14,51,92,103,106,99,74,62,50,16,25,11,20,16,8,8,5,62,29,27,19,18,"17","031","010600","1","Block Group 1",11,17,58,101,109,94,89,75,62,49,9,20,12,10,14,11,10,1,960,210,45,113,439,153,"17","031","010600","1","0106001"
"Block Group 2",852,137,373,265,1,49,0,2,25,294,135,17,142,16,11,0,1,1,0,0,3,17,18,15,18,4,4,7,17,29,35,33,34,39,37,46,14,18,16,13,14,10,5,8,24,19,12,6,8,"17","031","010600","2","Block Group 2",3,3,25,38,32,25,26,40,30,33,15,17,8,10,7,6,6,8,294,108,9,30,109,38,"17","031","010600","2","0106002"
"Block Group 3",1898,284,1132,316,2,108,0,2,54,957,229,39,689,68,37,1,16,1,1,0,12,59,37,36,11,9,16,31,99,92,114,99,95,76,57,59,10,19,13,7,5,4,5,5,63,31,31,17,14,"17","031","010600","3","Block Group 3",18,52,96,138,111,86,67,49,39,52,14,18,7,5,6,9,8,9,957,218,43,78,415,203,"17","031","010600","3","0106003"
"Block Group 4",1456,456,535,344,1,87,0,12,21,732,150,25,557,118,72,2,32,2,4,0,6,39,36,26,20,16,14,16,47,115,117,72,62,47,53,34,20,14,9,5,5,5,4,2,42,36,30,15,12,"17","031","010600","4","Block Group 4",9,8,49,111,87,58,45,46,40,22,7,15,7,9,6,15,7,2,732,164,36,52,354,126,"17","031","010600","4","0106004"
"Block Group 1",1636,693,536,286,1,75,1,5,39,645,160,46,439,47,33,0,3,1,1,0,9,74,48,47,26,23,10,7,31,101,101,90,52,61,53,31,15,18,10,12,10,6,6,2,64,61,56,24,12,"17","031","010701","1","Block Group 1",6,7,29,72,84,69,54,59,48,51,14,24,6,14,24,11,9,4,645,240,43,75,202,85,"17","031","010701","1","0107011"
"Block Group 2",2228,770,835,447,2,125,1,6,42,890,443,59,388,68,32,1,17,2,5,0,11,101,78,49,34,20,10,7,33,64,120,144,97,86,79,61,21,26,13,15,12,6,4,6,96,79,73,52,18,"17","031","010701","2","Block Group 2",6,7,44,87,129,120,90,74,73,65,26,33,5,10,23,15,9,8,890,348,50,98,292,102,"17","031","010701","2","0107012"
"Block Group 1",1572,705,392,363,2,75,0,2,33,567,191,15,361,80,47,0,26,0,0,0,7,82,68,48,28,17,10,14,38,81,89,81,86,52,37,38,8,8,5,7,4,5,3,3,77,68,51,35,14,"17","031","010702","1","Block Group 1",9,14,30,88,78,63,51,45,51,29,13,12,2,5,13,6,3,3,567,185,38,75,208,61,"17","031","010702","1","0107021"
"Block Group 2",1082,672,193,165,7,22,1,8,14,404,48,9,347,51,36,0,4,1,5,0,5,53,47,25,26,10,7,10,54,71,64,52,52,32,27,23,6,12,2,3,2,1,1,2,53,50,34,20,8,"17","031","010702","2","Block Group 2",7,4,27,80,51,45,27,23,25,19,9,5,2,1,4,6,0,0,404,135,38,41,139,51,"17","031","010702","2","0107022"
"Block Group 3",1611,760,392,269,1,153,0,4,32,606,196,16,394,80,37,1,22,0,2,0,18,75,51,38,37,22,16,14,42,106,114,90,79,64,57,26,14,12,7,2,7,4,4,0,77,50,31,21,17,"17","031","010702","3","Block Group 3",14,10,45,101,99,57,47,43,41,34,10,11,4,4,7,4,2,1,606,218,46,62,191,89,"17","031","010702","3","0107023"
"Block Group 4",878,286,193,311,3,63,1,0,21,335,86,18,231,54,47,0,5,0,1,0,1,37,36,24,18,9,6,8,30,51,38,42,34,56,31,19,8,0,6,2,4,2,1,1,35,26,28,14,10,"17","031","010702","4","Block Group 4",4,7,30,42,38,33,45,28,22,23,3,5,3,3,5,6,3,2,335,107,26,43,106,53,"17","031","010702","4","0107024"
"Block Group 1",2413,636,721,601,9,390,0,9,47,904,304,66,534,84,38,0,22,2,4,0,18,97,84,75,45,33,13,22,54,103,99,102,86,90,92,67,22,22,14,17,21,18,8,7,96,97,74,48,28,"17","031","020100","1","Block Group 1",11,13,45,103,96,111,90,91,68,71,25,37,14,22,38,17,17,10,904,322,67,169,266,80,"17","031","020100","1","0201001"
"Block Group 2",1552,316,403,557,6,211,0,7,52,604,274,56,274,73,37,0,12,5,2,0,17,65,57,54,23,17,11,8,19,52,50,38,62,65,62,40,24,15,7,9,6,13,6,2,62,41,51,31,18,"17","031","020100","2","Block Group 2",16,6,23,57,67,57,80,58,63,65,18,28,11,17,26,18,15,19,604,215,28,111,205,45,"17","031","020100","2","0201002"
"Block Group 1",1678,126,1277,75,0,175,0,1,24,499,303,130,66,22,3,0,9,2,3,0,5,92,103,76,36,15,9,11,23,39,59,58,47,36,42,45,29,22,13,15,15,22,12,11,68,87,80,44,19,"17","031","020200","1","Block Group 1",5,6,29,50,53,52,47,51,43,45,24,35,12,20,28,21,8,21,499,341,14,47,83,14,"17","031","020200","1","0202001"
"Block Group 2",1393,325,605,140,0,284,0,4,35,425,147,66,212,33,22,0,2,3,1,0,5,36,52,41,35,11,5,10,23,53,38,53,43,52,49,53,11,24,10,16,17,14,5,10,50,56,50,24,27,"17","031","020200","2","Block Group 2",12,15,29,46,28,60,48,46,64,49,18,17,16,15,23,15,10,14,425,219,28,60,93,25,"17","031","020200","2","0202002"
"Block Group 3",1678,249,883,90,0,430,0,0,26,499,330,133,36,13,4,1,4,2,0,0,2,56,76,55,30,25,7,10,30,44,38,53,38,63,71,62,26,31,13,23,18,17,22,11,52,72,55,40,18,"17","031","020200","3","Block Group 3",13,11,32,42,42,44,43,65,86,70,24,22,15,15,34,28,19,17,499,341,22,51,73,12,"17","031","020200","3","0202003"
"Block Group 4",1927,243,837,288,2,500,0,1,56,631,341,125,165,43,36,0,2,1,2,0,2,64,75,79,37,14,8,7,34,52,51,68,66,68,75,76,25,29,17,19,26,22,10,15,62,72,61,49,28,"17","031","020200","4","Block Group 4",8,11,28,51,61,59,72,70,79,74,31,40,16,21,33,20,21,23,631,372,33,76,128,22,"17","031","020200","4","0202004"
"Block Group 1",1558,40,1383,17,0,102,0,0,16,919,364,397,158,95,5,0,36,12,20,0,22,44,19,10,4,3,2,0,11,58,58,26,20,25,33,36,19,17,8,18,29,44,60,75,54,22,13,7,1,"17","031","020301","1","Block Group 1",5,4,30,49,53,32,27,38,33,51,24,41,17,31,79,59,94,175,919,306,21,54,504,34,"17","031","020301","1","0203011"
"Block Group 2",1350,67,889,49,11,284,0,8,42,517,245,122,150,114,80,0,13,17,1,0,3,59,57,42,23,15,7,5,18,48,30,39,28,37,33,32,23,11,7,8,14,20,15,44,45,53,48,26,18,"17","031","020301","2","Block Group 2",7,5,15,34,32,47,33,36,41,38,16,24,16,15,19,26,26,115,517,221,16,45,217,18,"17","031","020301","2","0203012"
"Block Group 3",1842,182,1520,34,3,82,0,1,20,533,300,123,110,29,7,1,9,1,3,0,8,97,88,91,53,26,3,12,24,54,46,43,47,57,50,55,20,23,10,15,24,17,16,20,100,107,112,54,19,"17","031","020301","3","Block Group 3",9,11,29,55,50,43,45,50,51,55,19,25,17,19,22,22,17,20,533,364,26,35,92,16,"17","031","020301","3","0203013"
"Block Group 1",1334,305,708,137,5,150,0,8,21,420,156,49,215,26,14,0,2,0,2,0,8,74,50,45,19,11,2,10,24,61,47,39,38,36,42,47,11,12,12,7,14,16,8,14,66,54,39,27,9,"17","031","020302","1","Block Group 1",6,3,30,50,57,37,35,35,49,45,11,18,10,12,20,20,20,42,420,222,26,48,105,19,"17","031","020302","1","0203021"
"Block Group 2",996,217,539,84,0,130,0,2,24,350,149,52,149,41,30,0,6,1,0,0,4,60,34,29,21,12,1,6,18,35,29,48,30,33,30,25,8,9,10,4,12,9,11,4,39,36,35,19,14,"17","031","020302","2","Block Group 2",8,3,18,38,42,40,33,37,39,36,14,8,9,9,7,11,15,8,350,172,18,62,81,17,"17","031","020302","2","0203022"
"Block Group 3",2320,430,1378,230,4,222,0,6,50,860,399,154,307,149,32,2,14,1,2,0,98,70,68,72,22,24,11,10,32,63,74,68,80,95,78,92,28,45,25,31,45,31,25,24,76,62,51,35,24,"17","031","020302","3","Block Group 3",6,9,32,83,79,78,98,89,92,93,37,63,29,26,44,39,28,34,860,372,37,97,293,61,"17","031","020302","3","0203023"
"Block Group 1",781,189,407,77,1,85,0,3,19,313,121,56,136,28,13,0,5,1,3,0,6,23,24,31,11,10,6,4,19,22,25,28,33,41,37,38,9,10,8,4,5,4,7,5,22,17,28,9,6,"17","031","020400","1","Block Group 1",5,3,5,24,22,24,29,37,43,28,11,18,7,7,8,9,9,6,313,147,15,32,92,27,"17","031","020400","1","0204001"
"Block Group 2",1480,326,712,268,1,139,0,2,32,601,251,85,265,40,20,0,8,0,3,0,9,59,44,45,21,13,8,8,25,39,57,74,79,54,60,42,19,23,15,10,12,10,4,8,54,58,50,25,10,"17","031","020400","2","Block Group 2",6,2,31,49,50,58,60,56,49,51,11,27,16,15,20,16,17,20,601,250,31,63,203,54,"17","031","020400","2","0204002"
"Block Group 3",1907,472,721,360,12,298,0,3,41,774,282,75,417,75,46,0,14,2,1,0,12,83,83,61,27,23,6,6,33,65,81,75,91,74,60,64,16,30,15,11,20,7,7,3,76,70,67,28,14,"17","031","020400","3","Block Group 3",7,11,31,79,87,78,69,80,71,60,19,15,22,18,24,17,14,9,774,310,33,99,272,60,"17","031","020400","3","0204003"
"Block Group 1",2512,577,628,580,14,642,0,4,67,832,186,30,616,140,79,2,20,2,2,0,35,107,107,81,40,31,17,21,68,124,114,121,88,74,62,67,24,17,12,26,19,10,15,6,129,90,65,38,28,"17","031","020500","1","Block Group 1",13,13,65,150,125,102,61,87,64,57,25,18,26,31,24,26,11,13,832,348,53,138,194,99,"17","031","020500","1","0205001"
"Block Group 2",909,281,214,180,0,201,0,13,20,288,93,17,178,56,23,6,21,3,0,0,3,35,34,33,19,15,11,10,20,45,42,37,43,35,20,21,14,8,7,6,7,5,4,1,32,34,41,19,12,"17","031","020500","2","Block Group 2",10,9,22,24,30,47,33,30,23,20,10,10,5,4,7,8,4,3,288,132,26,51,57,22,"17","031","020500","2","0205002"
"Block Group 3",1742,366,475,227,11,604,0,0,59,611,165,60,386,72,61,1,4,0,0,0,6,33,66,58,49,17,18,12,37,48,55,52,56,66,62,51,21,31,9,22,28,18,25,16,50,62,54,28,20,"17","031","020500","3","Block Group 3",10,14,31,43,44,62,60,66,52,50,16,23,18,26,45,32,38,48,611,275,23,62,230,21,"17","031","020500","3","0205003"
"Block Group 4",1051,304,272,203,3,228,0,6,35,346,88,9,249,43,25,0,6,8,1,0,3,46,41,30,21,13,8,12,30,50,62,48,31,39,29,31,11,10,6,2,7,4,0,0,52,36,34,28,13,"17","031","020500","4","Block Group 4",7,10,24,52,49,47,28,37,29,32,14,11,5,4,4,3,0,1,346,154,22,56,74,40,"17","031","020500","4","0205004"
"Block Group 1",1826,202,1259,42,6,270,0,6,41,538,232,100,206,18,6,0,2,1,3,0,6,76,85,82,63,21,11,15,30,45,47,44,62,58,50,57,20,33,9,15,23,12,19,9,77,70,87,50,32,"17","031","020601","1","Block Group 1",12,10,27,62,58,54,49,48,66,75,23,29,16,15,26,18,19,17,538,334,27,56,104,17,"17","031","020601","1","0206011"
"Block Group 2",3008,454,1587,145,16,669,0,18,119,1002,212,61,729,76,40,1,14,1,1,0,19,179,106,79,61,25,23,23,64,153,140,86,107,81,90,94,25,38,20,25,25,20,23,10,156,110,88,59,36,"17","031","020601","2","Block Group 2",16,21,92,145,120,89,84,100,99,100,33,26,17,24,28,22,30,16,1002,514,73,117,237,61,"17","031","020601","2","0206012"
"Block Group 3",1519,354,609,107,1,376,0,7,65,450,134,41,275,63,27,0,18,2,1,0,15,78,66,62,26,22,9,12,34,82,69,60,43,47,52,40,12,17,12,9,7,15,8,2,75,63,51,27,14,"17","031","020601","3","Block Group 3",12,7,33,79,56,56,40,56,34,36,9,14,9,11,15,19,16,3,450,247,28,55,90,30,"17","031","020601","3","0206013"
"Block Group 1",1174,364,473,112,1,187,0,3,34,399,137,38,224,42,14,0,6,0,12,0,10,50,39,45,31,15,8,9,17,47,34,47,42,38,47,36,11,20,8,4,15,3,8,2,45,41,39,22,10,"17","031","020602","1","Block Group 1",2,9,31,49,35,51,43,48,47,30,6,12,11,16,13,10,14,14,399,182,31,62,105,19,"17","031","020602","1","0206021"
"Block Group 2",1121,377,257,38,1,409,0,6,33,329,91,27,211,23,16,0,0,0,0,0,7,52,46,39,27,21,8,4,38,60,34,51,45,39,32,42,13,11,4,14,10,10,4,3,37,42,37,20,15,"17","031","020602","2","Block Group 2",10,7,26,46,42,32,29,30,41,31,7,21,3,9,12,10,6,1,329,181,30,35,56,27,"17","031","020602","2","0206022"
"Block Group 3",1096,242,326,91,0,408,0,0,29,339,112,47,180,21,6,1,1,1,1,0,11,38,38,30,19,13,5,9,35,44,42,46,43,37,41,35,11,16,5,11,9,7,5,7,65,45,32,15,15,"17","031","020602","3","Block Group 3",9,4,25,38,43,31,38,49,31,32,11,15,4,4,20,8,7,9,339,183,22,44,61,29,"17","031","020602","3","0206023"
"Block Group 4",949,156,500,69,1,208,0,0,15,330,140,52,138,18,5,1,5,0,1,0,6,23,27,33,17,7,1,6,25,47,25,27,32,29,35,28,11,14,10,11,13,10,8,10,31,35,31,26,12,"17","031","020602","4","Block Group 4",9,4,14,30,30,26,33,39,34,42,9,22,10,15,17,11,9,11,330,169,10,46,79,26,"17","031","020602","4","0206024"
"Block Group 1",822,94,531,10,3,162,0,0,22,340,165,88,87,44,12,2,18,1,0,0,11,35,18,16,15,9,5,3,14,19,30,34,23,29,36,27,11,12,5,14,19,10,4,9,25,23,23,12,5,"17","031","020701","1","Block Group 1",3,2,9,19,20,27,26,30,39,34,14,17,9,16,29,9,10,24,340,172,15,31,103,19,"17","031","020701","1","0207011"
"Block Group 2",882,133,443,27,4,254,0,1,20,308,98,68,142,44,18,0,3,0,8,0,15,30,28,35,18,9,4,4,11,19,36,37,33,33,31,28,4,13,8,10,18,16,3,4,25,37,31,14,8,"17","031","020701","2","Block Group 2",2,4,13,23,32,41,28,36,26,32,18,16,8,18,19,8,5,6,308,174,9,44,68,13,"17","031","020701","2","0207012"
"Block Group 1",1818,228,855,142,3,533,0,1,56,612,160,123,329,55,33,0,3,0,4,0,15,66,63,67,45,18,10,8,45,79,74,56,61,53,50,60,17,33,20,24,19,16,16,17,57,72,60,28,17,"17","031","020702","1","Block Group 1",9,15,35,58,76,61,52,71,58,57,27,26,11,23,31,21,16,20,612,322,42,82,130,36,"17","031","020702","1","0207021"
"Block Group 2",2608,453,991,197,6,839,0,1,121,767,171,40,556,89,47,3,18,2,4,0,15,113,105,65,61,37,25,11,77,94,108,94,73,100,86,66,30,33,18,22,28,26,12,22,122,99,76,45,38,"17","031","020702","2","Block Group 2",26,18,51,108,108,91,99,75,76,69,21,15,10,18,30,30,25,52,767,421,53,126,115,52,"17","031","020702","2","0207022"
"Block Group 3",1745,310,757,148,7,451,0,2,70,614,178,31,405,33,18,0,5,1,4,0,5,59,44,49,40,21,11,12,50,72,70,57,58,61,50,69,16,23,10,10,14,26,14,11,66,50,55,33,24,"17","031","020702","3","Block Group 3",9,15,36,76,68,56,54,50,50,76,19,32,23,22,27,28,14,15,614,297,40,83,165,29,"17","031","020702","3","0207023"
"Block Group 4",1023,183,523,39,2,254,0,0,22,319,142,75,102,21,5,3,5,4,0,0,4,31,36,32,19,21,6,3,22,32,39,36,46,31,25,25,17,12,13,10,16,9,6,10,33,43,41,24,9,"17","031","020702","4","Block Group 4",9,4,15,30,32,36,34,36,31,36,14,23,15,10,18,8,12,13,319,177,28,43,64,7,"17","031","020702","4","0207024"
"Block Group 1",1645,540,611,138,4,311,2,5,34,618,193,53,372,75,29,1,18,0,3,0,24,60,58,54,33,21,14,16,27,83,71,67,68,56,55,39,15,18,14,11,23,11,9,8,54,54,53,29,22,"17","031","020801","1","Block Group 1",12,11,30,65,78,54,63,72,51,50,11,20,12,6,27,17,15,8,618,262,37,95,178,46,"17","031","020801","1","0208011"
"Block Group 2",1052,203,501,38,0,292,0,1,17,364,157,75,132,33,9,1,2,1,2,0,18,32,23,25,18,17,10,6,29,36,26,43,24,44,44,45,8,19,9,10,19,8,12,4,27,24,25,29,12,"17","031","020801","2","Block Group 2",5,8,27,31,21,43,39,32,48,59,8,18,13,15,14,15,14,14,364,189,17,57,77,24,"17","031","020801","2","0208012"
"Block Group 3",1170,323,505,83,0,235,0,8,16,431,112,52,267,52,22,2,2,1,5,0,20,41,36,39,32,12,6,2,30,30,50,58,38,48,45,41,14,8,6,12,11,13,8,4,46,28,42,20,13,"17","031","020801","3","Block Group 3",7,7,18,41,54,46,37,39,53,33,8,20,12,11,16,15,13,7,431,187,34,75,104,31,"17","031","020801","3","0208013"
"Block Group 4",1591,401,677,107,6,331,0,15,54,604,155,57,392,67,22,1,3,2,6,0,33,61,49,52,21,15,6,11,37,67,58,70,78,51,45,37,15,21,9,16,10,12,11,6,57,59,35,25,18,"17","031","020801","4","Block Group 4",9,11,48,72,88,59,66,53,55,53,15,25,8,11,19,18,16,13,604,253,46,85,170,50,"17","031","020801","4","0208014"
"Block Group 1",1042,266,334,71,0,348,0,1,22,331,149,46,136,35,14,0,5,0,0,0,16,41,30,31,24,18,4,7,23,35,42,30,37,40,36,44,10,17,6,8,14,12,11,4,31,38,35,17,13,"17","031","020802","1","Block Group 1",8,7,22,48,27,33,33,42,48,34,11,10,9,7,16,11,9,9,331,178,20,48,63,22,"17","031","020802","1","0208021"
"Block Group 2",1796,460,496,245,3,531,0,0,61,572,128,32,412,103,52,2,11,6,3,0,29,86,79,44,49,25,6,5,46,92,78,79,69,44,60,45,11,19,4,6,14,9,2,2,71,72,75,40,30,"17","031","020802","2","Block Group 2",13,9,35,90,86,71,64,66,53,54,18,11,11,13,13,14,6,7,572,286,43,85,116,42,"17","031","020802","2","0208022"
"Block Group 3",2559,605,463,264,10,1115,0,18,84,716,153,27,536,106,57,2,19,2,3,0,23,132,86,86,71,31,24,18,86,162,120,104,89,80,71,73,27,16,19,9,21,8,6,4,116,101,82,47,40,"17","031","020802","3","Block Group 3",27,16,67,120,102,98,80,66,64,68,22,26,8,20,17,14,10,5,716,370,56,99,118,73,"17","031","020802","3","0208023"
"Block Group 4",1566,442,375,131,6,553,0,4,55,492,147,45,300,47,32,0,7,0,1,0,7,85,57,36,38,28,10,17,47,73,56,70,66,58,53,37,23,17,13,12,19,8,14,5,57,54,49,22,13,"17","031","020802","4","Block Group 4",8,15,30,66,50,57,42,49,44,51,21,17,11,16,16,13,14,9,492,237,49,72,94,40,"17","031","020802","4","0208024"
